Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Brian,Moore,Kenneth Shoals 5215,Teresashire,77548,Danmark,DK,19531214-5137,+45,397-561-1144x5888,1953-12-14,True
Gunnar,Lindqvist,Kyrkgatan 4,Trollhättan,18373,Sverige,SE,19990906-5683,+46,022-60 77 73,1999-09-06,True
Arne,Nygård,Andersentoppen 25,Olsen,6183,Norge,NO,19851226-2455,+47,468 41 617,1985-12-26,True
Maria,Björk,Idrottsstigen 5,Helsingborg,43314,Sverige,SE,19830811-2441,+46,08-089 38 28,1983-08-11,True
Torbjørn,Gundersen,Jenssengropa 2,Hauge,8145,Norge,NO,19781121-7138,+47,39586048,1978-11-21,True
Ingrid,Berg,Genvägen 51,Nyköping,30742,Sverige,SE,19881022-7640,+46,08-993 71 14,1988-10-22,True
Marcus,Andersson,Industrivägen 181,Luleå,36672,Sverige,SE,19530905-2551,+46,08-233 820 20,1953-09-05,True
Justin,Romero,Wells Islands 467,Port Brenda,44284,Danmark,DK,19520717-6366,+45,001-333-799-0563x8932,1952-07-17,True
Elisabet,Haglund,Parkgatan 085,Gävle,48395,Sverige,SE,19821002-5297,+46,08-64 82 01,1982-10-02,True
Robert,Brock,Catherine Lane 7158,Garciaborough,36154,Danmark,DK,19961024-9130,+45,001-250-965-5765x457,1996-10-24,True
Rose-Marie,Larsson,Backtorget 6,Kalmar,74787,Sverige,SE,19871028-0144,+46,038-86 48 40,1987-10-28,True
James,Salazar,White Rest 9315,Lake Austinberg,94234,Danmark,DK,19490625-4599,+45,001-344-513-8974x581,1949-06-25,True
Jessica,Dodson,Nichols Passage 21865,Lake Cynthia,58699,Danmark,DK,19950826-0825,+45,001-332-598-8322x939,1995-08-26,True
Inger,Andersson,Ängsgränd 30,Karlskoga,89138,Sverige,SE,19851219-4690,+46,0519-890 99,1985-12-19,True
Henry,Andersson,Genvägen 9,Borås,52831,Sverige,SE,19880208-8524,+46,+46 (0)8 651 800 12,1988-02-08,True
Sonja,Hägglund,Järnvägsgatan 91,Örebro,67415,Sverige,SE,19430320-7507,+46,+46 (0)8 868 169 56,1943-03-20,True
Connie,Cook,Christopher Well 485,Williamsburgh,90475,Danmark,DK,19430818-2578,+45,615.949.2587,1943-08-18,True
Per,Karlsson,Strandvägen 46,Växjö,10701,Sverige,SE,19800817-9659,+46,035-30 02 59,1980-08-17,True
Linnea,Olofsson,Aspvägen 2,Sandviken,37115,Sverige,SE,19760922-4181,+46,+46 (0)16 45 31 35,1976-09-22,True
Gregory,Alexander,Wolf Pike 7082,Kristinmouth,70009,Danmark,DK,19440724-5379,+45,001-409-652-0399x74939,1944-07-24,True
Alexandra,Jansson,Björktorget 09,Skövde,74356,Sverige,SE,19840627-3777,+46,08-710 18 89,1984-06-27,False
Gunnar,Davidsson,Parktorget 047,Östersund,28580,Sverige,SE,19560827-9119,+46,041-346 72 29,1956-08-27,True
Inger,Pettersson,Idrottstorget 108,Karlskrona,35747,Sverige,SE,19700328-3577,+46,078-97 50 98,1970-03-28,True
Matthew,Holden,Brown Stravenue 61201,New Kenneth,01843,Danmark,DK,19770812-2719,+45,909-943-8426,1977-08-12,True
Gertrud,Norberg,Skogsvägen 9,Lidköping,91264,Sverige,SE,19811111-4953,+46,+46 (0)207 109 72,1981-11-11,True
Anthony,Mcmillan,Ruth Canyon 63977,East Jessicaside,20281,Danmark,DK,19870504-6766,+45,514.868.4314x74764,1987-05-04,True
Christian,Madsen,Vikekra 6,Rolfhavn,4844,Norge,NO,19690228-1471,+47,62832119,1969-02-28,True
Siri,Henriksen,Tangenvika 59,Engen,0483,Norge,NO,19840227-5851,+47,78988277,1984-02-27,True
Britta,Bengtsson,Björkgatan 78,Växjö,74516,Sverige,SE,19971028-0437,+46,021-633 23 55,1997-10-28,True
Mats,Fredriksson,Järnvägsstigen 02,Trelleborg,99266,Sverige,SE,19740412-4195,+46,0547-71 01 26,1974-04-12,True
Katarina,Karlsson,Strandstigen 5,Södertälje,74130,Sverige,SE,19661007-2267,+46,078-11 86 75,1966-10-07,True
Maud,Ottosson,Idrottsgatan 328,Södertälje,89556,Sverige,SE,19520427-2659,+46,0452-100 46,1952-04-27,True
Björn,Johansson,Trädgårdstorget 5,Stockholm,26847,Sverige,SE,19690904-8935,+46,+46 (0)05 09 77 74,1969-09-04,True
Amanda,Persson,Fabriksvägen 448,Lidingö,49236,Sverige,SE,19910117-0566,+46,+46 (0)86 99 20 57,1991-01-17,True
Stefan,Isaksson,Stationsvägen 14,Lidköping,30360,Sverige,SE,19710518-7863,+46,0359-879 30,1971-05-18,True
Lene,Lunde,Pettersenmarka 08,Jørgensen,7042,Norge,NO,19600210-7204,+47,35 63 19 56,1960-02-10,True
Bente,Johannessen,Liestubben 12,Aune,8361,Finland,NO,19420601-4525,+47,60 18 82 51,1942-06-01,True
Ida,Karlsson,Industrivägen 77,Lidingö,20004,Sverige,SE,19761106-7199,+46,+46 (0)82 62 41 06,1976-11-06,True
Lennart,Molin,Nystigen 7,Ängelholm,38020,Norge,SE,19560515-2078,+46,+46 (0)10 87 66 29,1956-05-15,True
John,Dixon,Carlson Curve 04849,Cherylport,89182,Danmark,DK,19951031-5314,+45,001-610-207-7114x32755,1995-10-31,True
Barbro,Bergman,Storgatan 8,Karlskoga,18920,Sverige,SE,19751222-7240,+46,0852-839 06,1975-12-22,True
Cecilia,Josefsson,Kyrkogatan 15,Nyköping,55513,Sverige,SE,19560717-4865,+46,08-795 358 39,1956-07-17,True
Joakim,Haug,Ødegårdjordet 485,Jacobsen,0915,Norge,NO,19500705-2945,+47,96414202,1950-07-05,True
Marie,Olofsson,Björkgränd 2,Borås,40195,Sverige,SE,19980714-5623,+46,010-192 56 19,1998-07-14,True
Latoya,Kelly,Jimenez Manors 197,Sharishire,49613,Danmark,DK,19460515-2506,+45,001-598-847-2836x43048,1946-05-15,True
Russell,Mcmahon,Smith Isle 8455,Nathanbury,08581,Danmark,DK,19650217-5756,+45,989.552.9465x0503,1965-02-17,True
Nina,Lund,Ahmedberget 890,Birkeland,1826,Norge,NO,19570310-4366,+47,89 24 05 92,1957-03-10,True
Eva,Petersson,Skolgatan 63,Jönköping,92829,Sverige,SE,19440415-5658,+46,08-702 543 11,1944-04-15,True
Richard,Hansson,Järnvägstorget 01,Örebro,54143,Sverige,SE,19891203-3167,+46,037-37 33 59,1989-12-03,True
Anette,Berntsen,Pedersenekra 7B,Fredriksen,3441,Norge,NO,19810222-1199,+47,86742205,1981-02-22,True
Kathleen,Jackson,Davis Ramp 3717,East Lee,04030,Danmark,DK,19911126-5446,+45,625.979.6442x179,1991-11-26,True
Tonje,Jakobsen,Ruudstranda 1A,Berg,2169,Norge,NO,19850817-0059,+47,65 30 42 38,1985-08-17,True
Erik,Åström,Parkgatan 8,Örnsköldsvik,50091,Sverige,SE,19590212-3098,+46,060-77 78 21,1959-02-12,True
Eva,Svensson,Fabriksgatan 0,Norrköping,60078,Sverige,SE,19790824-6502,+46,015-418 47 20,1979-08-24,True
Emil,Myhre,Eriksenflata 3,Kjetilfjord,3178,Norge,NO,19940901-6987,+47,98650354,1994-09-01,True
Malin,Söderberg,Industrivägen 4,Skövde,64657,Sverige,SE,19910214-6468,+46,+46 (0)893 374 23,1991-02-14,True
Oskar,Jansson,Granvägen 82,Malmö,30826,Sverige,SE,19580528-9234,+46,08-037 26 45,1958-05-28,True
Liv,Andresen,Lundtoppen 40A,Andreassen,7689,Norge,NO,19430810-6688,+47,80991308,1943-08-10,True
Bror,Pettersson,Parkgatan 4,Norrköping,86686,Sverige,SE,19470523-4129,+46,+46 (0)8 349 875 68,1947-05-23,True
Aukusti,Juvonen,Mannerheiminkatu 10,Karvia,94914,Finland,FI,19641016-8710,+358,0852942644,1964-10-16,True
Lennart,Johansson,Ringvägen 8,Lund,38564,Sverige,SE,19460105-6757,+46,016-450 02 55,1946-01-05,True
Eric,Johnson,Smith Spur 419,Cynthiaview,87987,Danmark,DK,19820124-6525,+45,(433)853-7556x041,1982-01-24,True
Emanuel,Jansson,Ringgatan 60,Östersund,84130,Sverige,SE,19410906-4600,+46,+46 (0)8 747 840 09,1941-09-06,True
Megan,Carr,Richardson Lodge 315,Lake Michael,49705,Danmark,DK,19910524-5330,+45,279-516-2116x69964,1991-05-24,False
Anette,Andersson,Ängsvägen 828,Borlänge,84730,Sverige,SE,19931225-2604,+46,018-77 57 85,1993-12-25,True
Maria,Haglund,Industrivägen 151,Växjö,71293,Sverige,SE,19590928-7148,+46,08-168 740 01,1959-09-28,True
Nils,Hansson,Parkstigen 7,Trollhättan,24706,Sverige,SE,19760413-9152,+46,0172-091 08,1976-04-13,True
Cynthia,Lopez,Garcia Glens 178,South Bradleychester,41230,Danmark,DK,19820825-1594,+45,(948)346-0487x48890,1982-08-25,True
Natasha,Gardner,Smith Forge 8373,Jeremyland,45789,Danmark,DK,19410205-6385,+45,+1-361-597-0024x27596,1941-02-05,True
Hege,Strøm,Isaksenroa 3E,Kristinestrand,2100,Norge,NO,19580724-5672,+47,436 93 842,1958-07-24,True
Olov,Erlandsson,Järnvägsgatan 6,Landskrona,89557,Sverige,SE,19501205-4636,+46,072-14 80 13,1950-12-05,True
Leif,Gulbrandsen,Hellandlunden 80F,Mariestad,5770,Norge,NO,19920929-7700,+47,+4746565883,1992-09-29,True
Daniel,Owens,Trevino Walks 96073,East Daleport,85170,Danmark,DK,19810716-6967,+45,782-272-5286x938,1981-07-16,True
Olof,Jakobsson,Parkgatan 58,Gävle,17363,Sverige,SE,19650708-5692,+46,012-778 21 80,1965-07-08,True
Åke,Svensson,Storvägen 09,Lund,22690,Sverige,SE,19960723-5257,+46,+46 (0)12 44 18 01,1996-07-23,True
Kjersti,Christensen,Bakkenhavna 3,Pedersen,7513,Norge,NO,19610929-6029,+47,43005994,1961-09-29,True
Tommy,Viklund,Strandvägen 1,Göteborg,50779,Sverige,SE,19590112-5758,+46,+46 (0)44 65 13 64,1959-01-12,True
Gun,Karlsson,Skolgränd 8,Uddevalla,45743,Sverige,SE,19790802-3270,+46,+46 (0)85 89 23 17,1979-08-02,True
Unni,Madsen,Henriksenhavna 63,Pedersen,5672,Norge,NO,19680213-9405,+47,07 84 25 29,1968-02-13,True
Shawn,Stephens,King Parkways 343,Gutierrezfurt,93694,Danmark,DK,19571224-1461,+45,+1-838-274-7513,1957-12-24,True
Liv,Lien,Gulbrandsenplassen 46A,Karendal,2171,Norge,NO,19430120-7755,+47,52598121,1943-01-20,True
Christine,Nelson,Paula Dam 04270,Robertland,74365,Danmark,DK,19931201-0740,+45,5096855819,1993-12-01,True
Jose,Jones,Simpson Valley 4560,South Bonniehaven,02459,Danmark,DK,19530612-1524,+45,9777767769,1953-06-12,True
Birgitta,Larsson,Industrivägen 6,Kalmar,44434,Sverige,SE,19541203-4736,+46,08-256 94 45,1954-12-03,True
Rose-Marie,Mattsson,Stortorget 036,Borås,96901,Sverige,SE,19440710-5149,+46,020-11 69 38,1944-07-10,True
Lennart,Karlsson,Bäckstigen 4,Västerås,63020,Sverige,SE,19881123-2810,+46,0408-57 38 09,1988-11-23,True
Lennart,Olofsson,Ringgatan 002,Umeå,63080,Sverige,SE,19560120-5615,+46,061-416 47 24,1956-01-20,True
Lisbeth,Eriksson,Stationsgatan 4,Jönköping,65582,Sverige,SE,19840122-3353,+46,08-064 95 94,1984-01-22,True
Anton,Johansson,Björkgatan 5,Östersund,94725,Sverige,SE,19861202-4810,+46,+46 (0)10 57 78 29,1986-12-02,True
David,Brown,Gallagher Vista 396,Lake Leah,12803,Danmark,DK,19941224-9677,+45,001-972-436-7064x028,1994-12-24,True
Petra,Sundström,Aspgränd 341,Piteå,94943,Sverige,SE,19410112-0883,+46,08-620 55 50,1941-01-12,True
May,Andresen,Liengrenda 32,Fredriksen,7626,Norge,NO,19831112-2627,+47,40688055,1983-11-12,True
Trond,Larsen,Haugenjordet 66,Magneås,0845,Norge,NO,19500529-7838,+47,932 77 682,1950-05-29,True
Anna,Ødegård,Kristensenskogen 677,Johnsen,9700,Norge,NO,19691224-0290,+47,43716073,1969-12-24,True
Turid,Eliassen,Sætherstubben 4,Solheim,8361,Norge,NO,19680819-2315,+47,13270851,1968-08-19,True
Mikko,Lappalainen,Tuulilasinpolku 43,Taivalkoski,64132,Finland,FI,19581222-590C,+358,+358 770675323,1958-12-22,True
Hannah,Anderson,Schmidt Well 7864,Port Annaland,50850,Danmark,DK,19610204-4670,+45,+1-556-393-2890x387,1961-02-04,True
Juho,Pulkkinen,Harakkamyllynkatu 567,Leppävirta,23589,Finland,FI,19440118-389X,+358,+358 18 5399307,1944-01-18,True
Christian,Berge,Aasenkroken 965,Martinsen,7399,Norge,NO,19820209-1107,+47,97113502,1982-02-09,True
Gun,Olofsson,Parkgränd 47,Växjö,48559,Sverige,SE,19821019-2299,+46,+46 (0)8 693 653 82,1982-10-19,True
Ulla-Britt,Persson,Bäckvägen 34,Borlänge,82467,Sverige,SE,19780321-5048,+46,073-21 23 89,1978-03-21,True
Misty,Khan,Leslie Valleys 800,Rachelshire,11071,Danmark,DK,19500904-7697,+45,474.446.2145,1950-09-04,True
John,Burns,Stevens Greens 682,Masonhaven,29015,Danmark,DK,19430204-2506,+45,233.384.7768x1704,1943-02-04,True
Øystein,Johnsen,Alilia 2,Solveigfoss,3445,Norge,NO,19890207-5419,+47,39 79 28 51,1989-02-07,True
Olav,Hauge,Liespranget 1G,Vidarvik,8793,Norge,NO,19830111-8305,+47,96935359,1983-01-11,True
Torbjørn,Kristiansen,Edvardsenringen 58,Thomasmark,5487,Norge,NO,19410704-8957,+47,491 34 352,1941-07-04,True
Christopher,Lee,Ashley Glen 246,Tonyberg,98882,Danmark,DK,19821210-0669,+45,402-246-2347,1982-12-10,True
Inger,Jonsson,Ringvägen 35,Västerås,61308,Sverige,SE,19500609-2504,+46,014-45 37 92,1950-06-09,True
Gunilla,Fransson,Kyrkgränd 3,Stockholm,62090,Sverige,SE,19520525-9805,+46,08-035 27 01,1952-05-25,True
Pekka,Heikkinen,Graniittibulevardi 1,Padasjoki,59994,Finland,FI,19831223-214R,+358,0452243082,1983-12-23,True
Geir,Sandvik,Kristensenlia 7,Solheim,0740,Norge,NO,19741209-5133,+47,67645019,1974-12-09,True
Ulla,Svensson,Furuvägen 3,Jönköping,65850,Sverige,SE,19520326-9240,+46,08-713 62 50,1952-03-26,True
Ellinor,Persson,Ekgatan 87,Borås,45818,Sverige,SE,19481229-7987,+46,08-57 44 06,1948-12-29,True
Else,Ellingsen,Hellandgropa 8D,Mortensjøen,1071,Norge,NO,19630620-5023,+47,85888300,1963-06-20,True
Anna,Johansson,Backstigen 32,Karlskoga,12989,Sverige,SE,19720407-4758,+46,0596-51 44 25,1972-04-07,True
Linnea,Karlsson,Kyrkogatan 91,Malmö,35792,Sverige,SE,19631010-7077,+46,08-46 57 93,1963-10-10,True
Mette,Hansen,Mikkelsenvollen 42C,Runefjell,4338,Norge,NO,19430409-7911,+47,982 26 578,1943-04-09,True
Kari,Bakken,Eliasseneggen 48,Pettersen,8798,Norge,NO,19520907-8610,+47,83 49 79 67,1952-09-07,True
Björn,Lindberg,Skoltorget 353,Karlstad,37366,Sverige,SE,19760307-3571,+46,+46 (0)330 395 40,1976-03-07,True
Anne,Eriksen,Evensenvika 7,Olavhamn,9521,Norge,NO,19780716-0862,+47,96 69 64 19,1978-07-16,True
Cesar,Rios,Michael Shoal 8613,East Brandon,58154,Danmark,DK,19740414-0698,+45,(499)716-4072x1312,1974-04-14,True
Anders,Klasson,Fabriksvägen 9,Malmö,54010,Sverige,SE,19890620-5176,+46,0278-520 56,1989-06-20,True
Maria,Danielsen,Sørensenmyra 07,Thomassen,8938,Norge,NO,19971223-1260,+47,08207607,1997-12-23,True
Elisabet,Fredriksson,Industrivägen 2,Karlstad,40984,Sverige,SE,19440917-0653,+46,+46 (0)43 42 05 62,1944-09-17,True
Ingemar,Karlsson,Strandgränd 084,Växjö,75160,Sverige,SE,19830529-6048,+46,+46 (0)8 210 905 22,1983-05-29,True
Katherine,Dominguez,Duncan Motorway 3714,West Aaronview,80029,Danmark,DK,19870504-2791,+45,661-306-8342,1987-05-04,True
Amanda,Karlsson,Järnvägsgatan 6,Trollhättan,81838,Sverige,SE,19480905-8042,+46,08-83 47 02,1948-09-05,True
Wenche,Bakken,Martinsenalléen 8,Linnvåg,8959,Norge,NO,19531213-2863,+47,66472390,1953-12-13,True
Gunnar,Jonsson,Storgatan 01,Göteborg,37225,Sverige,SE,19930419-8288,+46,081-454 80 04,1993-04-19,True
Melissa,Atkinson,Barbara Springs 9675,North Evelynshire,39085,Danmark,DK,19420704-5719,+45,(266)804-1593x490,1942-07-04,True
Karin,Gustavsson,Björkvägen 07,Karlskrona,58023,Sverige,SE,19471213-7027,+46,08-512 176 56,1947-12-13,True
Grethe,Andersen,Jakobsenrøa 8,Wenchesund,3391,Norge,NO,19810717-2946,+47,98723704,1981-07-17,True
Vilhelm,Jönsson,Trädgårdsgatan 5,Karlstad,68998,Sverige,SE,19420523-5108,+46,089-61 73 08,1942-05-23,True
Jan,Svärd,Åkergränd 359,Motala,45813,Sverige,SE,19870719-4797,+46,08-45 23 76,1987-07-19,True
Siv,Friberg,Backtorget 478,Motala,37872,Sverige,SE,19440823-4268,+46,+46 (0)13 04 89 90,1944-08-23,True
Emil,Arvidsson,Parkgränd 63,Västerås,98747,Sverige,SE,19631224-4557,+46,0659-550 60,1963-12-24,True
Evelina,Karlsson,Trädgårdsgränd 3,Gävle,12857,Sverige,SE,19540202-6406,+46,+46 (0)49 77 25 71,1954-02-02,True
Justin,Banks,Frank Mill 586,New Anthonybury,26527,Danmark,DK,19970304-1385,+45,809-465-0840x7993,1997-03-04,True
Kjell,Solheim,Andreassengrenda 8,Kristoffersen,6147,Norge,NO,19440510-2845,+47,419 36 827,1944-05-10,True
Ragnhild,Paulsen,Andersentoppen 231,Pernes,8090,Norge,NO,19470107-3970,+47,+4702693537,1947-01-07,True
Ragnhild,Danielsen,Jacobsenholtet 18,Aas,2307,Norge,NO,19811121-6419,+47,97 48 19 52,1981-11-21,True
Rut,Bengtsson,Skolstigen 620,Landskrona,59465,Sverige,SE,19801218-2269,+46,+46 (0)47 59 42 48,1980-12-18,True
Pekka,Turunen,Haakoninlahdenkatu 461,Muonio,86336,Finland,FI,19950517-689L,+358,0285795109,1995-05-17,True
Magnus,Bengtsson,Gentorget 5,Karlskrona,24095,Sverige,SE,19871128-1428,+46,08-066 75 19,1987-11-28,True
Hanna,Jenssen,Strandstubben 1,Andersen,7364,Norge,NO,19860817-8072,+47,+47 22 12 41 62,1986-08-17,True
Heather,Garcia,Gregory Flats 28537,Millermouth,46006,Danmark,DK,19890914-8334,+45,474.991.3055x304,1989-09-14,True
Nils,Pettersson,Bäckstigen 90,Uppsala,56739,Sverige,SE,19941214-1948,+46,+46 (0)8 003 374 92,1994-12-14,True
Lene,Amundsen,Hauglandsvingen 3,Frankfjord,9160,Norge,NO,19750107-9944,+47,422 14 760,1975-01-07,True
Camilla,Bengtsson,Kyrkgatan 31,Lund,80881,Sverige,SE,19450512-6554,+46,009-801 81 97,1945-05-12,True
Kim,Tveit,Knutsenstubben 1,Danielsen,1129,Norge,NO,19851219-6907,+47,96626470,1985-12-19,True
Marita,Berntsson,Kvarngränd 7,Karlskrona,64422,Sverige,SE,19701018-9117,+46,+46 (0)8 247 981 95,1970-10-18,True
Tobias,Kristiansen,Knutsenstranda 7,Sisselnes,9943,Norge,NO,19600506-0280,+47,44 09 30 56,1960-05-06,True
Andrea,Ødegård,Holmmarka 4,Berntsen,8339,Norge,NO,19691115-4587,+47,+4740746480,1969-11-15,True
Bente,Paulsen,Sørensenroa 1,Tommyhelle,5873,Norge,NO,19940217-9588,+47,43688995,1994-02-17,True
Åke,Larsson,Gengatan 50,Karlstad,47652,Sverige,SE,19670610-4955,+46,+46 (0)8 193 704 97,1967-06-10,True
Einar,Claesson,Grantorget 6,Göteborg,84101,Sverige,SE,19990226-2930,+46,0834-52 40 61,1999-02-26,True
Rune,Hagström,Backstigen 41,Eskilstuna,17417,Sverige,SE,19590320-4662,+46,018-090 16 22,1959-03-20,True
Ingrid,Iversen,Svendsenspranget 8,Solberg,6116,Norge,NO,19880720-9674,+47,91793164,1988-07-20,True
Stine,Ali,Andersenhaugen 21,Jensen,8812,Norge,NO,20000612-5751,+47,77 21 83 69,2000-06-12,True
Per,Carlsson,Idrottstorget 141,Nyköping,51224,Sverige,SE,19521129-9458,+46,0037-07 91 23,1952-11-29,True
Eric,Dahlgren,Skolgatan 889,Östersund,80909,Sverige,SE,19891230-1304,+46,+46 (0)152 733 33,1989-12-30,True
Marcus,Lund,Aspgatan 766,Varberg,82677,Sverige,SE,19900116-3155,+46,08-525 254 88,1990-01-16,True
Jan,Nyström,Parkgränd 888,Linköping,25800,Sverige,SE,19400509-5306,+46,0505-60 26 21,1940-05-09,True
Marie,Karlsson,Granvägen 854,Skövde,65491,Sverige,SE,19530305-6152,+46,055-728 48 09,1953-03-05,True
Paul,Griffin,Miller Neck 130,South Lisa,29663,Danmark,DK,19490829-2578,+45,(303)593-5956,1949-08-29,True
Leif,Olofsson,Åkervägen 567,Jönköping,12363,Sverige,SE,19491229-7980,+46,08-05 08 72,1949-12-29,True
William,Baird,Johnson Ville 49104,Dakotaville,66663,Danmark,DK,19700918-5353,+45,(606)233-0611,1970-09-18,True
Kristoffer,Johansson,Nytorget 5,Östersund,84624,Sverige,SE,19431225-6920,+46,+46 (0)845 998 10,1943-12-25,True
Magne,Svendsen,Haugengropa 9,Tomstrøm,8312,Norge,NO,19540815-3751,+47,+4703970342,1954-08-15,True
Anton,Olofsson,Kyrkgränd 852,Malmö,71666,Sverige,SE,19830923-8607,+46,08-106 75 28,1983-09-23,True
Åse,Nguyen,Hansenberget 4,Nygård,3842,Norge,NO,19801129-4737,+47,453 76 990,1980-11-29,True
Arne,Söderberg,Backstigen 16,Motala,68741,Sverige,SE,19401231-0551,+46,0259-75 49 62,1940-12-31,True
Keith,Brown,Wilcox Stream 245,Port Paula,37472,Danmark,DK,19710708-8583,+45,314.598.3128,1971-07-08,True
Gösta,Johansson,Ekgränd 357,Örnsköldsvik,32676,Sverige,SE,19830823-1088,+46,08-922 219 67,1983-08-23,True
Susanna,Henriksson,Ekvägen 1,Norrköping,91229,Sverige,SE,19750827-7679,+46,+46 (0)8 225 414 50,1975-08-27,True
Minna,Mäki,Dunckerinkatu 35,Enonkoski,53585,Finland,FI,19451227-759C,+358,+358457263534,1945-12-27,True
Milla,Savolainen,Runonlaulajanbulevardi 054,Nokia,24807,Finland,FI,19651022-343Y,+358,+358221950204,1965-10-22,True
Georg,Andersson,Industrigatan 2,Linköping,47763,Sverige,SE,19920826-2330,+46,013-32 73 41,1992-08-26,True
Cathrine,Gulbrandsen,Ellingseneggen 20H,Moe,3932,Norge,NO,19890713-3427,+47,48850465,1989-07-13,True
Louise,Johansson,Björktorget 08,Skövde,78385,Sverige,SE,19870829-7871,+46,0545-37 59 12,1987-08-29,True
Maria,Lundberg,Björktorget 73,Kristianstad,65804,Sverige,SE,19580629-4098,+46,045-885 12 01,1958-06-29,True
Viljami,Järvinen,Eljaksenbulevardi 80,Kinnula,91295,Finland,FI,19900825-310B,+358,+358982682650,1990-08-25,True
Tapio,Heinonen,Harakkamyllynbulevardi 7,Jämsä,88377,Finland,FI,19880111-509J,+358,062 975 4665,1988-01-11,True
Elisabet,Nordin,Nygatan 2,Norrköping,48939,Sverige,SE,19650117-6022,+46,+46 (0)31 85 08 92,1965-01-17,True
Linnea,Johansson,Kyrkogränd 8,Trollhättan,21646,Sverige,SE,19620202-9278,+46,+46 (0)8 941 283 99,1962-02-02,True
Jonas,Ruud,Johnsenroa 9,Sirifoss,0060,Norge,NO,20000503-0378,+47,967 81 628,2000-05-03,True
David,Hellström,Parkgränd 759,Motala,98109,Sverige,SE,19510310-1212,+46,+46 (0)8 032 076 69,1951-03-10,True
Bente,Jacobsen,Danielsentunet 3C,Sørensen,3079,Norge,NO,19721213-2776,+47,+47 25 14 52 43,1972-12-13,True
Margareta,Vikström,Kyrkgatan 9,Borlänge,27085,Sverige,SE,19410218-6696,+46,+46 (0)134 790 22,1941-02-18,True
Elisabet,Johansson,Villagatan 523,Malmö,28854,Sverige,SE,19931123-5784,+46,08-036 82 18,1993-11-23,True
Hanna,Berntsen,Solbergtjernet 1,Brittø,5551,Norge,NO,19760321-0719,+47,+4756675253,1976-03-21,True
Per,Karlsson,Industrigatan 629,Örnsköldsvik,47497,Sverige,SE,19670220-1167,+46,+46 (0)720 950 88,1967-02-20,True
Rachel,Hall,Jenna Freeway 489,Lake Kathryn,81545,Danmark,DK,19570602-3566,+45,614.487.5845x3620,1957-06-02,True
Lillemor,Nilsson,Trädgårdsgatan 170,Lidingö,46361,Sverige,SE,19790204-6575,+46,+46 (0)8 097 833 09,1979-02-04,True
Sander,Amundsen,Sivertsenvollen 1,Linnfjell,3972,Norge,NO,19490123-1943,+47,960 65 151,1949-01-23,True
Emilie,Tangen,Rasmussenmarka 1,Ruthsjøen,0771,Norge,NO,19970419-3280,+47,48290910,1997-04-19,True
Lennart,Bengtsson,Skolstigen 2,Lidköping,11388,Sverige,SE,19710918-3937,+46,+46 (0)81 38 62 01,1971-09-18,True
Lisbeth,Svensson,Stationsgatan 1,Sundsvall,72679,Sverige,SE,19491018-5060,+46,+46 (0)8 137 474 44,1949-10-18,True
Kåre,Svendsen,Nguyentjernet 13,Rasmussen,3376,Norge,NO,19661010-0255,+47,04 49 34 84,1966-10-10,True
Jade,Davis,Casey Shores 69185,New Tonymouth,99684,Danmark,DK,19691105-4201,+45,001-246-644-8539x665,1969-11-05,True
Kristina,Sjöström,Ekgränd 116,Lidingö,67476,Sverige,SE,20001004-3445,+46,+46 (0)8 342 646 22,2000-10-04,True
Johanna,Nilsson,Skoltorget 9,Sandviken,22426,Sverige,SE,19610605-9818,+46,+46 (0)724 334 33,1961-06-05,True
Siv,Johnsen,Gundersenalléen 62,Ruthås,9392,Norge,NO,19920504-9900,+47,54368253,1992-05-04,True
Grace,Jones,Benson Stravenue 1078,Amandachester,34977,Danmark,DK,19740302-9460,+45,592-926-4942,1974-03-02,True
Ann,Karlsson,Industrivägen 2,Lidköping,49493,Sverige,SE,19930824-4036,+46,0001-533 63,1993-08-24,True
Christer,Olsson,Industrivägen 7,Lund,10242,Sverige,SE,19960928-2848,+46,016-54 00 63,1996-09-28,True
Lennart,Haglund,Ekvägen 00,Örnsköldsvik,23541,Sverige,SE,19680304-1992,+46,08-314 876 41,1968-03-04,True
Emma,Heinonen,Tuulilasinkuja 03,Helsinki,11728,Finland,FI,19830215-624F,+358,+358 43 7366208,1983-02-15,True
Ida,Eriksson,Ringvägen 51,Nyköping,62471,Sverige,SE,19430720-3758,+46,019-40 85 94,1943-07-20,True
Erik,Mattsson,Idrottstorget 6,Umeå,78855,Sverige,SE,19700716-5442,+46,093-245 65 75,1970-07-16,True
Anita,Gustafsson,Ängsgatan 7,Kalmar,70265,Sverige,SE,19801104-9563,+46,009-904 95 32,1980-11-04,True
Annika,Persson,Villagatan 8,Lidköping,63648,Sverige,SE,19710924-1103,+46,+46 (0)8 432 789 57,1971-09-24,True
Astrid,Karlsson,Idrottsvägen 94,Jönköping,77547,Sverige,SE,19980917-2182,+46,08-246 074 13,1998-09-17,True
Niklas,Karlsson,Idrottsstigen 75,Luleå,27033,Sverige,SE,19410302-4135,+46,013-917 78 15,1941-03-02,True
Leif,Thomassen,Henriksenskrenten 6,Bentenes,2070,Norge,NO,19771203-6287,+47,484 13 107,1977-12-03,True
